"","VALUE","COUNT","OBJECTID_1"
"1",1,206168349,"4"
"2",2,57837109,"17"
"3",3,35194764,"35"
"4",4,172383090,"77"
"5",5,19569491,"36"
"6",6,28690586,"NULL"
"7",7,20118341,"95"
"8",8,7880695,"50"
"9",9,13082872,"106"
"10",10,2238457,"69"
"11",11,207382,"15"
"12",12,10228187,"70"
"13",13,64922006,"102"
"14",14,109838,"18"
"15",15,26947,"91"
"16",16,38911,"24"
"17",17,81952789,"57"
"18",18,1378425,"72"
"19",19,145406,"60"
"20",20,4734710,"47"
"21",21,19112855,"40"
"22",22,84890,"31"
"23",23,45567741,"58"
"24",24,11451019,"41"
"25",25,10818757,"42"
"26",26,198332,"67"
"27",27,507901,"73"
"28",28,13170,"87"
"29",29,200158,"37"
"30",30,170672,"48"
"31",31,1430043,"2"
"32",32,3210137,"14"
"33",33,6853784,"32"
"34",34,31028,"74"
"35",35,124711,"52"
"36",36,4188,"23"
"37",37,349079,"43"
"38",38,4795,"25"
"39",39,1158890,"8"
"40",40,61731,"6"
"41",41,4461,"85"
"42",42,804044,"61"
"43",43,40538,"29"
"44",44,10937,"66"
"45",45,15962,"19"
"46",46,248244,"101"
"47",47,181257,"12"
"48",48,29237,"59"
"49",49,1000960,"64"
"50",50,1380848,"86"
"51",51,769272,"21"
"52",52,38340,"53"
"53",53,912,"33"
"54",54,8021,"62"
"55",55,133846,"34"
"56",56,29936,"22"
"57",57,80949,"105"
"58",58,979828,"16"
"59",59,3085637,"68"
"60",60,49183,"20"
"61",61,17153,"44"
"62",62,1519399,"98"
"63",63,1205361,"99"
"64",64,6096,"28"
"65",65,8441590,"56"
"66",66,38026,"39"
"67",67,1415227,"97"
"68",68,15069,"51"
"69",69,264703,"7"
"70",70,54128,"45"
"71",71,15012,"54"
"72",72,1952,"71"
"73",73,13884,"9"
"74",74,861,"5"
"75",75,68597,"38"
"76",76,6486,"10"
"77",77,40409,"3"
"78",78,39492,"81"
"79",79,7255,"78"
"80",80,1723,"65"
"81",81,29875,"82"
"82",82,8282,"83"
"83",83,74958,"94"
"84",84,4731,"96"
"85",85,96809,"100"
"86",86,10921,"80"
"87",87,58,"75"
"88",88,21127,"92"
"89",89,1230,"26"
