"","GEOID","Value","NAME"
"1","01001",1,"Autauga"
"2","01003",2,"Baldwin"
"3","01005",3,"Barbour"
"4","01007",4,"Bibb"
"5","01009",5,"Blount"
"6","01011",6,"Bullock"
"7","01013",7,"Butler"
"8","01015",8,"Calhoun"
"9","01017",9,"Chambers"
"10","01019",10,"Cherokee"
"11","01021",11,"Chilton"
"12","01023",12,"Choctaw"
"13","01025",13,"Clarke"
"14","01027",14,"Clay"
"15","01029",15,"Cleburne"
"16","01031",16,"Coffee"
"17","01033",17,"Colbert"
"18","01035",18,"Conecuh"
"19","01037",19,"Coosa"
"20","01039",20,"Covington"
"21","01041",21,"Crenshaw"
"22","01043",22,"Cullman"
"23","01045",23,"Dale"
"24","01047",24,"Dallas"
"25","01049",25,"DeKalb"
"26","01051",26,"Elmore"
"27","01053",27,"Escambia"
"28","01055",28,"Etowah"
"29","01057",29,"Fayette"
"30","01059",30,"Franklin"
"31","01061",31,"Geneva"
"32","01063",32,"Greene"
"33","01065",33,"Hale"
"34","01067",34,"Henry"
"35","01069",35,"Houston"
"36","01071",36,"Jackson"
"37","01073",37,"Jefferson"
"38","01075",38,"Lamar"
"39","01077",39,"Lauderdale"
"40","01079",40,"Lawrence"
"41","01081",41,"Lee"
"42","01083",42,"Limestone"
"43","01085",43,"Lowndes"
"44","01087",44,"Macon"
"45","01089",45,"Madison"
"46","01091",46,"Marengo"
"47","01093",47,"Marion"
"48","01095",48,"Marshall"
"49","01097",49,"Mobile"
"50","01099",50,"Monroe"
"51","01101",51,"Montgomery"
"52","01103",52,"Morgan"
"53","01105",53,"Perry"
"54","01107",54,"Pickens"
"55","01109",55,"Pike"
"56","01111",56,"Randolph"
"57","01113",57,"Russell"
"58","01115",58,"St. Clair"
"59","01117",59,"Shelby"
"60","01119",60,"Sumter"
"61","01121",61,"Talladega"
"62","01123",62,"Tallapoosa"
"63","01125",63,"Tuscaloosa"
"64","01127",64,"Walker"
"65","01129",65,"Washington"
"66","01131",66,"Wilcox"
"67","01133",67,"Winston"
"68","02013",68,"Aleutians East"
"69","02016",69,"Aleutians West"
"70","02020",70,"Anchorage"
"71","02050",71,"Bethel"
"72","02060",72,"Bristol Bay"
"73","02068",73,"Denali"
"74","02070",74,"Dillingham"
"75","02090",75,"Fairbanks North Star"
"76","02100",76,"Haines"
"77","02105",77,"Hoonah-Angoon"
"78","02110",78,"Juneau"
"79","02122",79,"Kenai Peninsula"
"80","02130",80,"Ketchikan Gateway"
"81","02150",81,"Kodiak Island"
"82","02158",82,"Kusilvak"
"83","02164",83,"Lake and Peninsula"
"84","02170",84,"Matanuska-Susitna"
"85","02180",85,"Nome"
"86","02185",86,"North Slope"
"87","02188",87,"Northwest Arctic"
"88","02195",88,"Petersburg"
"89","02198",89,"Prince of Wales-Hyder"
"90","02220",90,"Sitka"
"91","02230",91,"Skagway"
"92","02240",92,"Southeast Fairbanks"
"93","02261",93,"Valdez-Cordova"
"94","02275",94,"Wrangell"
"95","02282",95,"Yakutat"
"96","02290",96,"Yukon-Koyukuk"
"97","04001",97,"Apache"
"98","04003",98,"Cochise"
"99","04005",99,"Coconino"
"100","04007",100,"Gila"
"101","04009",101,"Graham"
"102","04011",102,"Greenlee"
"103","04012",103,"La Paz"
"104","04013",104,"Maricopa"
"105","04015",105,"Mohave"
"106","04017",106,"Navajo"
"107","04019",107,"Pima"
"108","04021",108,"Pinal"
"109","04023",109,"Santa Cruz"
"110","04025",110,"Yavapai"
"111","04027",111,"Yuma"
"112","05001",112,"Arkansas"
"113","05003",113,"Ashley"
"114","05005",114,"Baxter"
"115","05007",115,"Benton"
"116","05009",116,"Boone"
"117","05011",117,"Bradley"
"118","05013",118,"Calhoun"
"119","05015",119,"Carroll"
"120","05017",120,"Chicot"
"121","05019",121,"Clark"
"122","05021",122,"Clay"
"123","05023",123,"Cleburne"
"124","05025",124,"Cleveland"
"125","05027",125,"Columbia"
"126","05029",126,"Conway"
"127","05031",127,"Craighead"
"128","05033",128,"Crawford"
"129","05035",129,"Crittenden"
"130","05037",130,"Cross"
"131","05039",131,"Dallas"
"132","05041",132,"Desha"
"133","05043",133,"Drew"
"134","05045",134,"Faulkner"
"135","05047",135,"Franklin"
"136","05049",136,"Fulton"
"137","05051",137,"Garland"
"138","05053",138,"Grant"
"139","05055",139,"Greene"
"140","05057",140,"Hempstead"
"141","05059",141,"Hot Spring"
"142","05061",142,"Howard"
"143","05063",143,"Independence"
"144","05065",144,"Izard"
"145","05067",145,"Jackson"
"146","05069",146,"Jefferson"
"147","05071",147,"Johnson"
"148","05073",148,"Lafayette"
"149","05075",149,"Lawrence"
"150","05077",150,"Lee"
"151","05079",151,"Lincoln"
"152","05081",152,"Little River"
"153","05083",153,"Logan"
"154","05085",154,"Lonoke"
"155","05087",155,"Madison"
"156","05089",156,"Marion"
"157","05091",157,"Miller"
"158","05093",158,"Mississippi"
"159","05095",159,"Monroe"
"160","05097",160,"Montgomery"
"161","05099",161,"Nevada"
"162","05101",162,"Newton"
"163","05103",163,"Ouachita"
"164","05105",164,"Perry"
"165","05107",165,"Phillips"
"166","05109",166,"Pike"
"167","05111",167,"Poinsett"
"168","05113",168,"Polk"
"169","05115",169,"Pope"
"170","05117",170,"Prairie"
"171","05119",171,"Pulaski"
"172","05121",172,"Randolph"
"173","05123",173,"St. Francis"
"174","05125",174,"Saline"
"175","05127",175,"Scott"
"176","05129",176,"Searcy"
"177","05131",177,"Sebastian"
"178","05133",178,"Sevier"
"179","05135",179,"Sharp"
"180","05137",180,"Stone"
"181","05139",181,"Union"
"182","05141",182,"Van Buren"
"183","05143",183,"Washington"
"184","05145",184,"White"
"185","05147",185,"Woodruff"
"186","05149",186,"Yell"
"187","06001",187,"Alameda"
"188","06003",188,"Alpine"
"189","06005",189,"Amador"
"190","06007",190,"Butte"
"191","06009",191,"Calaveras"
"192","06011",192,"Colusa"
"193","06013",193,"Contra Costa"
"194","06015",194,"Del Norte"
"195","06017",195,"El Dorado"
"196","06019",196,"Fresno"
"197","06021",197,"Glenn"
"198","06023",198,"Humboldt"
"199","06025",199,"Imperial"
"200","06027",200,"Inyo"
"201","06029",201,"Kern"
"202","06031",202,"Kings"
"203","06033",203,"Lake"
"204","06035",204,"Lassen"
"205","06037",205,"Los Angeles"
"206","06039",206,"Madera"
"207","06041",207,"Marin"
"208","06043",208,"Mariposa"
"209","06045",209,"Mendocino"
"210","06047",210,"Merced"
"211","06049",211,"Modoc"
"212","06051",212,"Mono"
"213","06053",213,"Monterey"
"214","06055",214,"Napa"
"215","06057",215,"Nevada"
"216","06059",216,"Orange"
"217","06061",217,"Placer"
"218","06063",218,"Plumas"
"219","06065",219,"Riverside"
"220","06067",220,"Sacramento"
"221","06069",221,"San Benito"
"222","06071",222,"San Bernardino"
"223","06073",223,"San Diego"
"224","06075",224,"San Francisco"
"225","06077",225,"San Joaquin"
"226","06079",226,"San Luis Obispo"
"227","06081",227,"San Mateo"
"228","06083",228,"Santa Barbara"
"229","06085",229,"Santa Clara"
"230","06087",230,"Santa Cruz"
"231","06089",231,"Shasta"
"232","06091",232,"Sierra"
"233","06093",233,"Siskiyou"
"234","06095",234,"Solano"
"235","06097",235,"Sonoma"
"236","06099",236,"Stanislaus"
"237","06101",237,"Sutter"
"238","06103",238,"Tehama"
"239","06105",239,"Trinity"
"240","06107",240,"Tulare"
"241","06109",241,"Tuolumne"
"242","06111",242,"Ventura"
"243","06113",243,"Yolo"
"244","06115",244,"Yuba"
"245","08001",245,"Adams"
"246","08003",246,"Alamosa"
"247","08005",247,"Arapahoe"
"248","08007",248,"Archuleta"
"249","08009",249,"Baca"
"250","08011",250,"Bent"
"251","08013",251,"Boulder"
"252","08014",252,"Broomfield"
"253","08015",253,"Chaffee"
"254","08017",254,"Cheyenne"
"255","08019",255,"Clear Creek"
"256","08021",256,"Conejos"
"257","08023",257,"Costilla"
"258","08025",258,"Crowley"
"259","08027",259,"Custer"
"260","08029",260,"Delta"
"261","08031",261,"Denver"
"262","08033",262,"Dolores"
"263","08035",263,"Douglas"
"264","08037",264,"Eagle"
"265","08039",265,"Elbert"
"266","08041",266,"El Paso"
"267","08043",267,"Fremont"
"268","08045",268,"Garfield"
"269","08047",269,"Gilpin"
"270","08049",270,"Grand"
"271","08051",271,"Gunnison"
"272","08053",272,"Hinsdale"
"273","08055",273,"Huerfano"
"274","08057",274,"Jackson"
"275","08059",275,"Jefferson"
"276","08061",276,"Kiowa"
"277","08063",277,"Kit Carson"
"278","08065",278,"Lake"
