FileName,SERIES_NAME,VARIABLE_NAME,ATTRIBUTE_TITLE,KEYWORD1,KEYWORD2,ATTRIBUTE_LABEL,CONFIDENCE_INTERVAL,DEPTH,HORIZON_UPPER_DEPTH,HORIZON_LOWER_DEPTH,RANGE_DOMAIN_MINIMUM,RANGE_DOMAIN_MAXIMUM,ATTRIBUTE_MEASUREMENT_RESOLUTION,ATTRIBUTE_UNITS_OF_MEASURE,CITATION_URL,CITATION_ORIGINATOR,CITATION_ADDRESS,PUBLICATION_DATE,DOWNLOAD_FTP_URL,TECHNICAL_SPECIFICATIONS_URL,PROJECT_URL,LEGEND,SLD_URL,SLD_NAME,NO_DATA,DATA_FORMAT
bd_M_sl1_100m.tif,USA48SoilGrids100m,Bulk density (fine earth) in kg / cubic-meter,Bulk density (fine earth) in kg / cubic-meter at depth 0.00 m,bulk,density,bd_M_sl1,M,0.00 m,0.00 m,0.00 m,50,2650,1,kg / cubic-m,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:BLDFIE,-32768,Int16
bd_M_sl2_100m.tif,USA48SoilGrids100m,Bulk density (fine earth) in kg / cubic-meter,Bulk density (fine earth) in kg / cubic-meter at depth 0.05 m,bulk,density,bd_M_sl2,M,0.05 m,0.05 m,0.05 m,50,2650,1,kg / cubic-m,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:BLDFIE,-32768,Int16
bd_M_sl3_100m.tif,USA48SoilGrids100m,Bulk density (fine earth) in kg / cubic-meter,Bulk density (fine earth) in kg / cubic-meter at depth 0.15 m,bulk,density,bd_M_sl3,M,0.15 m,0.15 m,0.15 m,50,2650,1,kg / cubic-m,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:BLDFIE,-32768,Int16
bd_M_sl4_100m.tif,USA48SoilGrids100m,Bulk density (fine earth) in kg / cubic-meter,Bulk density (fine earth) in kg / cubic-meter at depth 0.30 m,bulk,density,bd_M_sl4,M,0.30 m,0.30 m,0.30 m,50,2650,1,kg / cubic-m,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:BLDFIE,-32768,Int16
bd_M_sl5_100m.tif,USA48SoilGrids100m,Bulk density (fine earth) in kg / cubic-meter,Bulk density (fine earth) in kg / cubic-meter at depth 0.60 m,bulk,density,bd_M_sl5,M,0.60 m,0.60 m,0.60 m,50,2650,1,kg / cubic-m,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:BLDFIE,-32768,Int16
bd_M_sl6_100m.tif,USA48SoilGrids100m,Bulk density (fine earth) in kg / cubic-meter,Bulk density (fine earth) in kg / cubic-meter at depth 1.00 m,bulk,density,bd_M_sl6,M,1.00 m,1.00 m,1.00 m,50,2650,1,kg / cubic-m,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:BLDFIE,-32768,Int16
bd_M_sl7_100m.tif,USA48SoilGrids100m,Bulk density (fine earth) in kg / cubic-meter,Bulk density (fine earth) in kg / cubic-meter at depth 2.00 m,bulk,density,bd_M_sl7,M,2.00 m,2.00 m,2.00 m,50,2650,1,kg / cubic-m,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:BLDFIE,-32768,Int16
clay_M_sl1_100m.tif,USA48SoilGrids100m,Clay content (0-2 micro meter) mass fraction in %,Clay content (0-2 micro meter) mass fraction in % at depth 0.00 m,clay,texture,clay_M_sl1,M,0.00 m,0.00 m,0.00 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
clay_M_sl2_100m.tif,USA48SoilGrids100m,Clay content (0-2 micro meter) mass fraction in %,Clay content (0-2 micro meter) mass fraction in % at depth 0.05 m,clay,texture,clay_M_sl2,M,0.05 m,0.05 m,0.05 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
clay_M_sl3_100m.tif,USA48SoilGrids100m,Clay content (0-2 micro meter) mass fraction in %,Clay content (0-2 micro meter) mass fraction in % at depth 0.15 m,clay,texture,clay_M_sl3,M,0.15 m,0.15 m,0.15 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
