"","Value","Class"
"1",1,"Acraquox"
"2",2,"Acrudox"
"3",3,"Alaquods"
"4",4,"Albaqualfs"
"5",5,"Albaquults"
"6",6,"Alorthods"
"7",7,"Aquicambids"
"8",8,"Aquisalids"
"9",9,"Aquorthels"
"10",10,"Argialbolls"
"11",11,"Argiaquolls"
"12",12,"Argiborolls"
"13",13,"Argicryids"
"14",14,"Argicryolls"
"15",15,"Argidurids"
"16",16,"Argigypsids"
"17",17,"Argiudolls"
"18",18,"Argiustolls"
"19",19,"Argixerolls"
"20",20,"Borohemists"
"21",21,"Borosaprists"
"22",22,"Calciaquerts"
"23",23,"Calciaquolls"
"24",24,"Calciargids"
"25",25,"Calciborolls"
"26",26,"Calcicryepts"
"27",27,"Calcicryids"
"28",28,"Calcicryolls"
"29",29,"Calcigypsids"
"30",30,"Calciorthids"
"31",31,"Calciudolls"
"32",32,"Calciustepts"
"33",33,"Calciusterts"
"34",34,"Calciustolls"
"35",35,"Calcixerepts"
"36",36,"Calcixererts"
"37",37,"Calcixerolls"
"38",38,"Camborthids"
"39",39,"Chromoxererts"
"40",40,"Chromuderts"
"41",41,"Chromusterts"
"42",42,"Cryandepts"
"43",43,"Cryaqualfs"
"44",44,"Cryaquands"
"45",45,"Cryaquents"
"46",46,"Cryaquepts"
"47",47,"Cryaquolls"
"48",48,"Cryoboralfs"
"49",49,"Cryoborolls"
"50",50,"Cryochrepts"
"51",51,"Cryofibrists"
"52",52,"Cryofluvents"
"53",53,"Cryofolists"
"54",54,"Cryohemists"
"55",55,"Cryopsamments"
"56",56,"Cryorthents"
"57",57,"Cryorthods"
"58",58,"Cryosaprists"
"59",59,"Cryrendolls"
"60",60,"Cryumbrepts"
"61",61,"Duraquods"
"62",62,"Durargids"
"63",63,"Durixeralfs"
"64",64,"Durixerepts"
"65",65,"Durixerolls"
"66",66,"Durochrepts"
"67",67,"Durorthids"
"68",68,"Durorthods"
"69",69,"Durudands"
"70",70,"Durustepts"
"71",71,"Durustolls"
"72",72,"Dystrandepts"
"73",73,"Dystraquerts"
"74",74,"Dystrochrepts"
"75",75,"Dystrocryepts"
"76",76,"Dystropepts"
"77",77,"Dystroxerepts"
"78",78,"Dystrudepts"
"79",79,"Dystruderts"
"80",80,"Dystrustepts"
"81",81,"Endoaqualfs"
"82",82,"Endoaquands"
"83",83,"Endoaquents"
"84",84,"Endoaquepts"
"85",85,"Endoaquert"
"86",86,"Endoaquerts"
"87",87,"Endoaquods"
"88",88,"Endoaquolls"
"89",89,"Endoaquults"
"90",90,"Epiaqualfs"
"91",91,"Epiaquents"
"92",92,"Epiaquepts"
"93",93,"Epiaquerts"
"94",94,"Epiaquods"
"95",95,"Epiaquolls"
"96",96,"Epiaquults"
"97",97,"Eutrandepts"
"98",98,"Eutroboralfs"
"99",99,"Eutrochrepts"
"100",100,"Eutrocryepts"
"101",101,"Eutropepts"
"102",102,"Eutrudepts"
"103",103,"Fluvaquents"
"104",104,"Fragiaqualfs"
"105",105,"Fragiaquepts"
"106",106,"Fragiaquods"
"107",107,"Fragiaquults"
"108",108,"Fragiboralfs"
"109",109,"Fragiochrepts"
"110",110,"Fragiorthods"
"111",111,"Fragiudalfs"
"112",112,"Fragiudepts"
"113",113,"Fragiudults"
"114",114,"Fragixeralfs"
"115",115,"Fraglossudalfs"
"116",116,"Frasiwassents"
"117",117,"Frasiwassists"
"118",118,"Fulvicryands"
"119",119,"Fulvudands"
"120",120,"Glossaqualfs"
"121",121,"Glossoboralfs"
"122",122,"Glossocryalfs"
"123",123,"Glossudalfs"
"124",124,"Gypsiargids"
"125",125,"Gypsiorthids"
"126",126,"Gypsitorrerts"
"127",127,"Gypsiusterts"
"128",128,"Halaquepts"
"129",129,"Haplaquents"
"130",130,"Haplaquepts"
"131",131,"Haplaquods"
"132",132,"Haplaquolls"
"133",133,"Haplargids"
"134",134,"Haploborolls"
"135",135,"Haplocalcids"
"136",136,"Haplocambids"
"137",137,"Haplocryalfs"
"138",138,"Haplocryands"
"139",139,"Haplocryepts"
"140",140,"Haplocryerts"
"141",141,"Haplocryids"
"142",142,"Haplocryods"
"143",143,"Haplocryolls"
"144",144,"Haplodurids"
"145",145,"Haplofibrists"
