"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","NA's"
"clay",0,11.7,21.4,24.1,33,96.5,77051
"sand",0,10.5,28.6,34.55,54.4,100,77051
"soc",-0.6848,0.4,0.6,1.594,1.2,70.4,32926
"bd",0.06419,1.26,1.4,1.377,1.506,2.6,191559
"n_tot",0,0.1,0.1,0.216,0.2,5.5,198720
"ph_h2o",0,5.1,6,6.238,7.4,10.9,71760
"ec_12pre",0,0.14,0.25,1.013,0.475,135.8,261880
"zn_ppm",1,35,57,62.47,79,11700,245076
"mg_pct",0.01,0.25,0.51,0.6693,0.84,16.8,245263
"k_pct",0,1,1.5,1.441,1.9,5.6,245188
"p_ppm",50,310,520,606.9,770,27400,245347
