location	id	latitude	longitude	gg	pscsmodorg	pscs_pprob	gg_pprob	pscs_c1	gg_c1	pscs_c1n	gg_c1n
Maine	92	45.93587114620	-69.17369341080	HAPLORTHODS	LOAMY	30	52	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	93	45.89212374070	-69.19363879990	HAPLORTHODS	LITHIC LOAMY-SKELETAL	31	62	56	151	LOAMY	HAPLORTHODS
Maine	94	45.88398203250	-69.18033628310	HAPLORTHODS	LOAMY-SKELETAL	31	73	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	118	45.75070192010	-69.19593910060	HAPLOHUMODS	LOAMY	24	37	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	117	45.75103903810	-69.19878167020	HAPLORTHODS	COARSE-LOAMY	38	50	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	116	45.75061980080	-69.20175011940	HAPLORTHODS	LOAMY	34	62	23	151	COARSE-LOAMY	HAPLORTHODS
superset	2013MN137BW1178	48.33696100000	-92.13621900000	DYSTRUDEPTS	COARSE-LOAMY	38	32	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW3910	48.32674400000	-92.24638900000	ENDOAQUALFS	FINE-SILTY	40	38	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW6474	48.31791100000	-92.24951100000	DYSTRUDEPTS	COARSE-LOAMY	23	44	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW4197	48.32603300000	-92.28718100000	DYSTRUDEPTS	SANDY-SKELETAL	23	33	56	78	LOAMY	DYSTRUDEPTS
Maine	147	45.69311729970	-69.13903302200	DYSTRUDEPTS	COARSE-LOAMY	41	74	56	151	LOAMY	HAPLORTHODS
Maine	153	45.68578808240	-69.08700472060	HAPLOHUMODS	SANDY-SKELETAL	37	58	56	151	LOAMY	HAPLORTHODS
Maine	156	45.64942440120	-68.91278228810	HAPLORTHODS	COARSE-LOAMY	37	68	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	151	45.68056601390	-69.08905115660	HAPLORTHODS	COARSE-LOAMY	44	51	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	145	45.69828933910	-69.13438315100	HAPLORTHODS	COARSE-LOAMY	66	78	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	152	45.68253792450	-69.08811687260	HAPLORTHODS	LOAMY	29	47	56	151	LOAMY	HAPLORTHODS
Maine	146	45.69387442680	-69.13816151560	HAPLORTHODS	LOAMY	44	67	56	151	LOAMY	HAPLORTHODS
Maine	154	45.68656228100	-69.08683897240	HAPLOSAPRISTS	SANDY-SKELETAL	37	58	56	151	LOAMY	HAPLORTHODS
superset	2013MN137BW10099	48.30616400000	-92.27927200000	DYSTRUDEPTS	COARSE-LOAMY	53	50	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN137BW8542	48.31056100000	-92.25846900000	DYSTRUDEPTS	LOAMY-SKELETAL	43	60	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
superset	2013MN137BW8233	48.31118100000	-92.28248900000	HAPLOHEMISTS	ORGANIC	40	29	70	78	ORGANIC	DYSTRUDEPTS
superset	2013MN137BW11545	48.30170300000	-92.18886700000	HAPUDALFS	FINE-SILTY	31	47	56	78	LOAMY	DYSTRUDEPTS
Maine	149	45.68903519630	-69.14286289140	HAPLOHUMODS	LOAMY	35	59	56	151	LOAMY	HAPLORTHODS
Maine	155	45.64034066100	-68.92275372270	HAPLORTHODS	COARSE-LOAMY	35	72	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	148	45.68992887500	-69.14077176430	HAPLORTHODS	LOAMY	34	52	56	151	LOAMY	HAPLORTHODS
Maine	157	45.64231255720	-68.93875260930	HAPLORTHODS	COARSE-LOAMY OVER SANDY-SKELETAL	17	27	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	150	45.67743346990	-69.08936718990	UDIFOLISTS	LITHIC ORGANIC	44	48	23	151	COARSE-LOAMY	HAPLORTHODS
superset	2013MN137BW16029	48.28908300000	-92.16184700000	EPIAQUEPTS	COARSE-LOAMY	46	52	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW15351	48.29100000000	-92.21951100000	UDIPSAMMENTS	SANDY	39	54	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW14272	48.29330000000	-92.19646100000	UDORTHENTS	LOAMY	43	49	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW15976	48.28970000000	-92.24975600000		ROCK OUTCROP	27	26	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN031BW28463	48.23395300000	-90.85076900000	DYSTRUDEPTS	COARSE-LOAMY	26	43	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN137BW21518	48.27456400000	-92.29100600000	DYSTRUDEPTS	LOAMY	27	39	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN137BW20821	48.27684700000	-92.26430600000	DYSTRUDEPTS	COARSE-LOAMY	52	48	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN031BW31820	48.22539700000	-90.87338600000	HAPLOHEMISTS	LITHIC ORGANIC	24	47	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW27012	48.25601400000	-92.23574700000	DYSTRUDEPTS	LOAMY	26	33	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN031BW34380	48.21934200000	-90.86251900000	DYSTRUDEPTS	LOAMY-SKELETAL	26	38	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN137BW26792	48.25606100000	-92.10971100000	DYSTRUDEPTS	LOAMY-SKELETAL	37	41	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN031BW35219	48.21781400000	-90.86183100000	DYSTRUDEPTS	COARSE-LOAMY	26	46	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN137BW27139	48.25560600000	-92.23680300000	EUTRUDEPTS	COARSE-LOAMY	41	36	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN137BW26016	48.25900000000	-92.10435000000	GLOSSUDALFS	LOAMY	36	38	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW24100	48.26651400000	-92.27911100000	HAPLUDALFS	FINE	42	41	30	78	FINE	DYSTRUDEPTS
superset	2013MN137BW26791	48.25601100000	-92.11038600000		ROCK OUTCROP	37	41	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW31293	48.24317500000	-92.22777500000	DYSTRUDEPTS	LOAMY	47	37	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW30298	48.24613900000	-92.23857800000	DYSTRUDEPTS	LOAMY-SKELETAL	27	41	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN137BW31896	48.24180600000	-92.21893300000	DYSTRUDEPTS	LOAMY-SKELETAL	37	57	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
superset	2013MN137BW32563	48.24141900000	-92.23059700000	HAPLUDALFS	FINE-SILTY	29	33	36	78	FINE-SILTY	DYSTRUDEPTS
superset	2013MN031BW46119	48.20272500000	-90.87653600000	UDORTHENTS	LOAMY	38	29	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW38388	48.22943600000	-92.13745300000	DYSTRUDEPTS	LOAMY	28	30	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW35283	48.23523100000	-92.32181900000	DYSTRUDEPTS	COARSE-LOAMY	28	35	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN137BW37118	48.23100000000	-92.11100000000	DYSTRUDEPTS	LOAMY-SKELETAL	27	22	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN031BW59526	48.18372200000	-90.94320300000	DYSTRUDEPTS	COARSE-LOAMY	46	31	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN137BW33434	48.23843100000	-92.25513900000	DYSTRUDEPTS	COARSE-LOAMY	48	36	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN137BW36730	48.23214400000	-92.15893300000	DYSTRUDEPTS	LOAMY-SKELETAL	35	52	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW40086	48.22719200000	-92.17517200000	ENDOAQUEPTS	SANDY OVER LOAMY	22	41	75	78	SANDY OVER LOAMY	DYSTRUDEPTS
superset	2013MN137BW40030	48.22793900000	-92.26041900000	GLOSSUDALFS	FINE	45	21	30	78	FINE	DYSTRUDEPTS
superset	2013MN137BW35351	48.23388300000	-92.22246400000	GLOSSUDALFS	FINE	33	46	30	78	FINE	DYSTRUDEPTS
superset	2013MN137BW40155	48.22660000000	-92.08983900000	UDORTHENTS	LOAMY	30	50	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW42293	48.22374700000	-92.09163600000	UDORTHENTS	LOAMY	45	30	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN031BW59526SAT	48.18364700000	-90.94315300000		ROCK OUTCROP	25	30	70	147	ORGANIC	HAPLOHEMISTS
superset	2013MN137BW45493	48.22020800000	-92.20902800000	DYSTRUDEPTS	LOAMY	65	34	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW46648	48.21826900000	-92.15100000000	DYSTRUDEPTS	LOAMY	29	22	56	271	LOAMY	UDORTHENTS
superset	2013MN137BW52607	48.20879400000	-92.22007500000	DYSTRUDEPTS	LOAMY	57	42	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW47696	48.21732500000	-92.20828100000	DYSTRUDEPTS	SANDY-SKELETAL	29	35	76	78	SANDY-SKELETAL	DYSTRUDEPTS
superset	2013MN137BW46634	48.21848900000	-92.18206700000	ENDOAQUALFS	FINE	33	37	30	78	FINE	DYSTRUDEPTS
superset	2013MN137BW47765	48.21800000000	-92.09400000000	ENDOAQUEPTS	FINE	49	21	30	78	FINE	DYSTRUDEPTS
superset	2013MN137BW51514	48.21070000000	-92.18970000000		ROCK OUTCROP	42	39	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW55006	48.20186400000	-91.80928600000		ROCK OUTCROP	37	35	56	78	LOAMY	DYSTRUDEPTS
Maine	79	45.64542806920	-69.37858015010	DYSTRUDEPTS	SANDY-SKELETAL	32	63	56	151	LOAMY	HAPLORTHODS
superset	2013MN137BW60133	48.19800000000	-92.19900000000	ALBAQUALFS	FINE-LOAMY	36	37	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW60977	48.19700000000	-92.20300000000	DYSTRUDEPTS	LOAMY	36	35	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW58838	48.19977500000	-92.19562200000	DYSTRUDEPTS	LOAMY-SKELETAL	28	38	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW63807	48.19450000000	-92.21990000000	DYSTRUDEPTS	LOAMY-SKELETAL	40	52	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
superset	2013MN137BW54129	48.20627800000	-92.18907500000	DYSTRUDEPTS	COARSE-LOAMY	44	37	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN137BW65555	48.19151000000	-92.08110000000		ROCK OUTCROP	26	22	30	78	FINE	DYSTRUDEPTS
Maine	83	45.58086703550	-69.25802784500	DYSTRUDEPTS	COARSE-LOAMY OVER SANDY-SKELETAL	41	50	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	82	45.59126022320	-69.31321616920	ENDOAQUEPTS	LOAMY	49	53	56	151	LOAMY	HAPLORTHODS
Maine	81	45.59898086070	-69.32050366450	HAPLORTHODS	LOAMY	55	63	56	151	LOAMY	HAPLORTHODS
superset	2013MN137BW80779	48.17276100000	-92.22646100000	ALBAQUALFS	FINE-LOAMY	29	64	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN031BW104239	48.10282200000	-90.21051400000	DYSTRUDEPTS	COARSE-LOAMY	40	83	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
superset	2013MN031BW105123	48.10177500000	-90.20542200000	HAPLOSAPRISTS	LITHIC ORGANIC	39	68	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
Maine	136	45.48362532490	-68.85871946450	HAPLORTHODS	LOAMY	48	81	23	151	COARSE-LOAMY	HAPLORTHODS
superset	2013MN031BW116704	48.09038100000	-90.18464700000	DYSTRUDEPTS	LOAMY-SKELETAL	57	84	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
superset	2013MN075BW95805	48.14236400000	-91.70495600000		ROCK OUTCROP	24	58	56	78	LOAMY	DYSTRUDEPTS
Maine	137	45.48175948660	-68.86399590550	HAPLORTHODS	COARSE-LOAMY	36	69	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	138	45.47106472960	-68.86285745210	HAPLORTHODS	LOAMY	41	70	23	151	COARSE-LOAMY	HAPLORTHODS
superset	2013MN031BW129451	48.08280300000	-90.25887200000	DYSTRUDEPTS	LOAMY-SKELETAL	55	85	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
superset	2013MN031BW130196	48.08460000000	-90.35693900000	DYSTRUDEPTS	LOAMY-SKELETAL	32	67	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
superset	2013MN031BW133746	48.07968600000	-90.23003100000	DYSTRUDEPTS	COARSE-LOAMY	51	80	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN031BW139435	48.07796700000	-90.30696400000	HAPLOSAPRISTS	LITHIC ORGANIC	38	62	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
Maine	165	45.45137192010	-68.84327452560	ENDOAQUEPTS	LOAMY	39	79	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	139	45.46087332950	-68.85394135610	HAPLORTHODS	COARSE-LOAMY OVER SANDY-SKELETAL	42	78	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	167	45.46009405730	-68.84325036340	HAPLOSAPRISTS	LOAMY	23	59	23	151	COARSE-LOAMY	HAPLORTHODS
superset	2013MN137BW119014	48.11728300000	-91.85341100000	DYSTRUDEPTS	COARSE-LOAMY	31	59	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN137BW110051	48.12483300000	-91.87331900000	DYSTRUDEPTS	LOAMY-SKELETAL	28	53	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN137BW113240	48.12145300000	-91.82360800000	GLOSSUDALFS	LOAMY	19	35	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN137BW108932	48.12570000000	-91.87453300000	HAPLOHEMISTS	ORGANIC	21	32	23	78	COARSE-LOAMY	DYSTRUDEPTS
Maine	164	45.44761868960	-68.84347673730	HAPLORTHODS	COARSE-LOAMY	46	77	23	151	COARSE-LOAMY	HAPLORTHODS
superset	2013MN031BW230440	48.02758300000	-90.50451400000	DYSTRUDEPTS	LOAMY-SKELETAL	44	80	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
superset	2013MN075BW191559	48.06688300000	-91.68393300000	UDORTHENTS	LOAMY	30	28	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN075BW209043	48.05810300000	-91.73438900000	DYSTRUDEPTS	LOAMY	56	45	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN031BW255704	48.01450800000	-90.51618900000	DYSTRUDEPTS	LOAMY-SKELETAL	27	57	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
superset	2013MN031BW263676	48.01065800000	-90.52677500000	DYSTRUDEPTS	LOAMY-SKELETAL	28	40	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
superset	2013MN031BW257709	48.01343300000	-90.51482800000	EPIAQUEPTS	COARSE-LOAMY	33	57	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
superset	2013MN075BW214403	48.05551100000	-91.72488100000	GLOSSUDALFS	LOAMY	53	39	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN075BW228866	48.04764200000	-91.68670800000	ALBAQUALFS	FINE-LOAMY	36	36	32	78	FINE-LOAMY	DYSTRUDEPTS
superset	2013MN031BW274304	48.00585000000	-90.53598900000	DYSTRUDEPTS	COARSE-LOAMY	49	76	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
superset	2013MN075BW230628	48.04684700000	-91.70732500000	DYSTRUDEPTS	COARSE-LOAMY	47	43	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN075BW238937	48.04225600000	-91.69411400000	DYSTRUDEPTS	SANDY-SKELETAL	23	26	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN075BW235173	48.04423300000	-91.69555300000	GLOSSUDALFS	LOAMY	22	27	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN075BW234224	48.04478900000	-91.69200300000	HAPLUDALFS	FINE-SILTY	32	36	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN075BW268888	48.03200800000	-91.70616400000	DYSTRUDEPTS	LOAMY	34	34	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN075BW281368	48.02097200000	-91.69247800000	DYSTRUDEPTS	COARSE-LOAMY	41	29	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN075BW284282	48.01951700000	-91.69468100000	ENDOAQUEPTS	FINE	51	33	30	78	FINE	DYSTRUDEPTS
superset	2013MN137BW255865	48.03428100000	-91.78134700000	HAPUDALFS	FINE-SILTY	27	22	70	78	ORGANIC	DYSTRUDEPTS
superset	2013MN137BW258839	48.03291400000	-91.79105000000		ROCK OUTCROP	18	23	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN075BW293854	48.01451900000	-91.69637200000	ENDOAQUEPTS	FINE	44	29	30	78	FINE	DYSTRUDEPTS
superset	2013MN075BW286221	48.01879700000	-91.71832500000		ROCK OUTCROP	33	28	56	78	LOAMY	DYSTRUDEPTS
superset	2013MN075BW316412	48.00250600000	-91.72240600000	DYSTRUDEPTS	COARSE-LOAMY	24	45	23	78	COARSE-LOAMY	DYSTRUDEPTS
Maine	91	45.36953999660	-69.07968643540	DYSTRUDEPTS	LOAMY	56	72	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	88	45.36817780520	-69.08386029390	DYSTRUDEPTS	LOAMY	43	73	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	90	45.36987419210	-69.07802676260	ENDOAQUEPTS	LOAMY	55	72	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	87	45.37606469000	-69.08149641140	ENDOAQUEPTS	LOAMY	32	60	56	151	LOAMY	HAPLORTHODS
Maine	85	45.37170590450	-69.08444019100	HAPLOHUMODS	COARSE-LOAMY	56	75	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	89	45.36834044490	-69.08301771560	HAPLORTHODS	COARSE-LOAMY	49	70	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	86	45.37147970880	-69.08599787810	HAPLORTHODS	COARSE-LOAMY	54	79	23	151	COARSE-LOAMY	HAPLORTHODS
superset	2013MN137BW340238SAT	47.99453600000	-92.08002800000	DYSTRUDEPTS	COARSE-LOAMY	30	61	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
superset	2013MN137BW349379	47.98811700000	-92.08705000000	DYSTRUDEPTS	COARSE-LOAMY	22	57	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN031BW381295	47.95070000000	-90.84123100000	DYSTRUDEPTS	COARSE-LOAMY	33	51	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN137BW329739	47.99897800000	-92.06463100000	HUMAQUEPTS		43	31	70	153	ORGANIC	HAPLOSAPRISTS
superset	2013MN031BW388004	47.94491400000	-90.74737500000		ROCK OUTCROP	31	56	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN075BW376767	47.96641700000	-91.72772200000	DYSTRUDEPTS	LOAMY-SKELETAL	47	35	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
superset	2013MN075BW379154	47.96504200000	-91.72856100000	DYSTRUDEPTS	LOAMY-SKELETAL	46	32	60	78	LOAMY-SKELETAL	DYSTRUDEPTS
Maine	129	45.46959504060	-69.70166113700	HAPLORTHODS	SANDY-SKELETAL	42	70	23	151	COARSE-LOAMY	HAPLORTHODS
superset	2013MN031BW409599SAT	47.92601700000	-90.72185000000	HUMAQUEPTS		26	61	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN031BW411012	47.92513100000	-90.72381700000		ROCK OUTCROP	29	56	23	78	COARSE-LOAMY	DYSTRUDEPTS
Maine	130	45.45836648110	-69.74494491640	HUMAQUEPTS	LOAMY	34	51	56	151	LOAMY	HAPLORTHODS
